gamma,reward_ratio,method,k,budget,n,auc,final_success,solved,mean_capped_first90,shortest_length,terminal_reward,optimal_discounted_return,zero_above_optimal_return
0.995,0.5,history_replay,4,100000,12,0.8925000000000001,1.0,12,11500.0,37,0.185,-0.1757584294085825,True
0.995,0.5,history_replay,4,200000,12,0.94625,1.0,12,11500.0,37,0.185,-0.1757584294085825,True
0.995,0.5,history_replay,12,50000,12,0.0,0.0,0,50000.0,133,0.665,-0.6248696358572461,True
0.995,0.5,history_replay,12,100000,12,0.0,0.0,0,100000.0,133,0.665,-0.6248696358572461,True
0.995,0.5,history_replay,12,200000,12,0.021458333333333333,0.6666666666666666,7,198083.33333333334,133,0.665,-0.6248696358572461,True
0.995,0.5,hand_replay,4,50000,12,0.8000000000000002,1.0,12,10750.0,37,0.185,-0.1757584294085825,True
0.995,0.5,hand_replay,4,100000,12,0.8999999999999999,1.0,12,10750.0,37,0.185,-0.1757584294085825,True
0.995,0.5,hand_replay,4,200000,12,0.9499999999999998,1.0,12,10750.0,37,0.185,-0.1757584294085825,True
0.995,0.5,hand_replay,12,50000,12,0.0,0.0,0,50000.0,133,0.665,-0.6248696358572461,True
0.995,0.5,hand_replay,12,100000,12,0.0,0.0,0,100000.0,133,0.665,-0.6248696358572461,True
0.995,0.5,hand_replay,12,200000,12,0.4000000000000001,1.0,12,120916.66666666667,133,0.665,-0.6248696358572461,True
0.995,0.5,immediate_skill,4,50000,12,0.9491666666666664,1.0,12,3083.3333333333335,37,0.185,-0.1757584294085825,True
0.995,0.5,immediate_skill,4,100000,12,0.9745833333333334,1.0,12,3083.3333333333335,37,0.185,-0.1757584294085825,True
0.995,0.5,immediate_skill,4,200000,12,0.9872916666666668,1.0,12,3083.3333333333335,37,0.185,-0.1757584294085825,True
0.995,0.5,immediate_skill,12,50000,12,0.8666666666666667,1.0,12,7916.666666666667,133,0.665,-0.6248696358572461,True
0.995,0.5,immediate_skill,12,100000,12,0.9333333333333332,1.0,12,7916.666666666667,133,0.665,-0.6248696358572461,True
0.995,0.5,immediate_skill,12,200000,12,0.9666666666666668,1.0,12,7916.666666666667,133,0.665,-0.6248696358572461,True
0.995,2,history_replay,4,50000,12,0.7958333333333334,1.0,12,10916.666666666666,37,0.74,0.28760727845331063,False
0.995,2,history_replay,4,100000,12,0.8979166666666666,1.0,12,10916.666666666666,37,0.74,0.28760727845331063,False
0.995,2,history_replay,4,200000,12,0.9489583333333332,1.0,12,10916.666666666666,37,0.74,0.28760727845331063,False
0.995,2,history_replay,12,50000,12,0.0,0.0,0,50000.0,133,2.66,0.4045431508087174,False
0.995,2,history_replay,12,100000,12,0.0,0.0,0,100000.0,133,2.66,0.4045431508087174,False
0.995,2,history_replay,12,200000,12,0.034375,0.9166666666666666,11,195666.66666666666,133,2.66,0.4045431508087174,False
0.995,2,hand_replay,4,50000,12,0.8158333333333334,1.0,12,9750.0,37,0.74,0.28760727845331063,False
0.995,2,hand_replay,4,100000,12,0.9079166666666666,1.0,12,9750.0,37,0.74,0.28760727845331063,False
0.995,2,hand_replay,4,200000,12,0.9539583333333334,1.0,12,9750.0,37,0.74,0.28760727845331063,False
0.995,2,hand_replay,12,50000,12,0.0,0.0,0,50000.0,133,2.66,0.4045431508087174,False
0.995,2,hand_replay,12,100000,12,0.0,0.0,0,100000.0,133,2.66,0.4045431508087174,False
0.995,2,hand_replay,12,200000,12,0.41395833333333326,1.0,12,117833.33333333333,133,2.66,0.4045431508087174,False
0.995,2,immediate_skill,4,50000,12,0.9491666666666664,1.0,12,3083.3333333333335,37,0.74,0.28760727845331063,False
0.995,2,immediate_skill,4,100000,12,0.9745833333333334,1.0,12,3083.3333333333335,37,0.74,0.28760727845331063,False
0.995,2,immediate_skill,4,200000,12,0.9872916666666668,1.0,12,3083.3333333333335,37,0.74,0.28760727845331063,False
0.995,2,immediate_skill,12,50000,12,0.8666666666666667,1.0,12,7916.666666666667,133,2.66,0.4045431508087174,False
0.995,2,immediate_skill,12,100000,12,0.9333333333333332,1.0,12,7916.666666666667,133,2.66,0.4045431508087174,False
0.995,2,immediate_skill,12,200000,12,0.9666666666666668,1.0,12,7916.666666666667,133,2.66,0.4045431508087174,False
0.995,8,history_replay,4,50000,12,0.8000000000000002,1.0,12,10833.333333333334,37,2.96,2.141070109900883,False
0.995,8,history_replay,4,100000,12,0.9,1.0,12,10833.333333333334,37,2.96,2.141070109900883,False
0.995,8,history_replay,4,200000,12,0.9499999999999998,1.0,12,10833.333333333334,37,2.96,2.141070109900883,False
0.995,8,history_replay,12,50000,12,0.0,0.0,0,50000.0,133,10.64,4.522194297472571,False
0.995,8,history_replay,12,100000,12,0.0,0.0,0,100000.0,133,10.64,4.522194297472571,False
0.995,8,history_replay,12,200000,12,0.042916666666666665,0.9166666666666666,10,194333.33333333334,133,10.64,4.522194297472571,False
0.995,8,hand_replay,4,50000,12,0.8250000000000001,1.0,12,9416.666666666666,37,2.96,2.141070109900883,False
