condition,k,seed,shortest_steps,horizon,optimal_success_bound,threshold90_feasible
noisy,12,119,116,240,0.9999999999999769,True
noisy,12,120,112,240,0.9999999999999996,True
noisy,12,121,116,240,0.9999999999999274,True
noisy,12,122,112,240,0.9999999999999889,True
noisy,12,123,108,240,1.0,True
noisy,12,124,80,240,1.0,True
noisy,12,125,96,240,1.0,True
noisy,12,126,120,240,0.9999999999997714,True
noisy,12,127,112,240,0.9999999999999869,True
noisy,12,128,96,240,1.0,True
noisy,12,129,100,240,1.0,True
noisy,12,130,100,240,1.0,True
noisy,12,131,136,240,0.9999999974735373,True
noisy,16,100,116,320,1.0,True
noisy,16,101,168,320,0.999999999999988,True
noisy,16,102,156,320,1.0,True
noisy,16,103,112,320,1.0,True
noisy,16,104,136,320,1.0,True
noisy,16,105,128,320,1.0,True
noisy,16,106,156,320,1.0,True
noisy,16,107,164,320,1.0,True
noisy,16,108,116,320,1.0,True
noisy,16,109,132,320,1.0,True
noisy,16,110,136,320,1.0,True
noisy,16,111,128,320,1.0,True
noisy,16,112,116,320,1.0,True
noisy,16,113,128,320,1.0,True
noisy,16,114,136,320,1.0,True
noisy,16,115,132,320,1.0,True
noisy,16,116,128,320,1.0,True
noisy,16,117,144,320,1.0,True
noisy,16,118,148,320,1.0,True
noisy,16,119,148,320,1.0,True
noisy,16,120,152,320,1.0,True
noisy,16,121,144,320,1.0,True
noisy,16,122,140,320,1.0,True
noisy,16,123,148,320,1.0,True
noisy,16,124,124,320,1.0,True
noisy,16,125,120,320,1.0,True
noisy,16,126,144,320,1.0,True
noisy,16,127,144,320,1.0,True
noisy,16,128,128,320,1.0,True
noisy,16,129,120,320,1.0,True
noisy,16,130,128,320,1.0,True
noisy,16,131,168,320,0.9999999999999952,True
